Team,Player,Assister,Make,AvgPoints,Age,AvgBLK,AvgSTL,AvgAST,Avg3points,alt
MIL,Jason Smith,George Hill,1,4.5,32,0.2,0.6,1.15,0.3065,JasonSmith
MIL,Jason Smith,Solomon Hill,1,4.15,27,0.1,0.25,0.9,0.3015,JasonSmith
MIL,Nikola Mirotić,Sterling Brown,1,9,23,0.35,0.55,1.4,0.3585,NikolaMirotić
MIL,Pat Connaughton,Trevon Duval,1,4.3,20,0.2,0.25,1.35,0.665,PatConnaughton
MIN,Dario Šarić,Tyus Jones,53,8.7,22,0.1,0.9,3.15,0.35,DarioŠarić
MIN,Derrick Rose,Andrew Wiggins,16,18.05,23,0.45,0.8,3.4,0.3545,DerrickRose
MIN,Andrew Wiggins,Jeff Teague,61,15.1,30,0.55,1,5.35,0.336,AndrewWiggins
MIN,Derrick Rose,Gorgui Dieng,7,12.2,29,0.35,0.6,2.6,0.3545,DerrickRose
MIN,Robert Covington,Karl-Anthony Towns,18,19.45,23,1.35,1.6,2.45,0.386,RobertCovington
MIN,Karl-Anthony Towns,Jeff Teague,106,18.25,30,1,0.95,5.8,0.3665,Karl-AnthonyTowns
MIN,Karl-Anthony Towns,Taj Gibson,19,17.6,33,1.1,0.85,2.3,0.362,Karl-AnthonyTowns
MIN,Karl-Anthony Towns,Andrew Wiggins,57,21.25,23,1.15,0.95,2.95,0.3695,Karl-AnthonyTowns
MIN,Dario Šarić,Jeff Teague,26,11.3,30,0.25,0.8,4.85,0.358,DarioŠarić
MIN,Derrick Rose,Jeff Teague,15,15.05,30,0.3,0.8,6.25,0.3515,DerrickRose
MIN,Derrick Rose,Dario Šarić,7,14.25,24,0.15,0.6,2.9,0.3765,DerrickRose
MIN,Derrick Rose,Robert Covington,3,16.25,28,0.65,1.45,2.9,0.371,DerrickRose
MIN,Andrew Wiggins,Karl-Anthony Towns,72,21.25,23,1.15,0.95,2.95,0.3695,AndrewWiggins
MIN,Karl-Anthony Towns,Derrick Rose,55,21.2,30,0.9,0.75,3.85,0.385,Karl-AnthonyTowns
MIN,Derrick Rose,Karl-Anthony Towns,19,21.2,23,0.9,0.75,3.85,0.385,DerrickRose
MIN,Karl-Anthony Towns,Dario Šarić,32,17.45,24,0.85,0.75,2.45,0.3915,Karl-AnthonyTowns
MIN,Josh Okogie,Gorgui Dieng,7,7.05,29,0.45,0.9,1.05,0.309,JoshOkogie
MIN,Karl-Anthony Towns,Anthony Tolliver,6,14.7,33,0.95,0.6,2.05,0.3885,Karl-AnthonyTowns
MIN,Taj Gibson,Karl-Anthony Towns,39,17.6,23,1.1,0.85,2.3,0.362,TajGibson
MIN,James Nunnally,Jerryd Bayless,1,4.1,30,0.05,0.3,1.95,0.3405,JamesNunnally
MIN,James Nunnally,Gorgui Dieng,1,4.25,29,0.25,0.35,0.65,0.362,JamesNunnally
MIN,Jerryd Bayless,Josh Okogie,3,6.9,20,0.25,0.85,2.35,0.2875,JerrydBayless
MIN,Robert Covington,Jerryd Bayless,4,10.3,30,0.6,1.4,2.5,0.334,RobertCovington
MIN,Josh Okogie,Dario Šarić,17,9.1,24,0.25,0.9,1.35,0.331,JoshOkogie
MIN,Jerryd Bayless,Robert Covington,1,10.3,28,0.6,1.4,2.5,0.334,JerrydBayless
MIN,Tyus Jones,Andrew Wiggins,12,12.5,23,0.4,1.1,3.65,0.328,TyusJones
MIN,Dario Šarić,Josh Okogie,17,9.1,20,0.25,0.9,1.35,0.331,DarioŠarić
MIN,Gorgui Dieng,Jerryd Bayless,18,6.25,30,0.3,0.55,2.2,0.3175,GorguiDieng
MIN,Karl-Anthony Towns,Tyus Jones,86,15.65,22,0.85,1.05,4.1,0.3585,Karl-AnthonyTowns
MIN,Andrew Wiggins,Robert Covington,6,16.3,28,0.9,1.65,2,0.3555,AndrewWiggins
MIN,Dario Šarić,Derrick Rose,25,14.25,30,0.15,0.6,2.9,0.3765,DarioŠarić
MIN,Gorgui Dieng,Dario Šarić,13,8.45,24,0.3,0.6,1.2,0.361,GorguiDieng
