road,hour,avgSpd
杭州南路,14,40.8095252380952
杭州南路,13,41.0209879047619
民族東路,12,41.7435019761905
民族東路,11,41.9289615714286
民族東路,10,43.7356001190476
民族東路,9,43.5960379285714
民族東路,8,44.8930771111111
民族東路,7,47.760041952381
民族東路,6,47.3237231190476
民族東路,5,46.7642659761905
民族東路,4,48.2467903095238
民族東路,3,48.9442832857143
民族東路,2,47.8680981904762
民族東路,1,45.077243452381
民族東路,0,51.7075485952381
民族東路,23,49.1445999761905
民族東路,22,48.6400587142857
民族東路,21,46.625370452381
民族東路,20,44.8918096428571
民族東路,19,41.0920096666667
民族東路,18,36.9788382142857
民族東路,17,40.9749651190476
民族東路,16,42.7857668809524
民族東路,15,42.7477347857143
民族東路,14,42.8624969761905
民族東路,13,42.8882163571429
民權東路,12,44.2827156339286
民權東路,11,44.5495244017857
民權東路,10,44.2597041875
民權東路,9,43.1363155892857
民權東路,8,44.5980891666667
民權東路,7,49.8671217321429
民權東路,6,51.1122776071429
民權東路,5,49.7616346785714
民權東路,4,48.6929211607143
民權東路,3,49.3625465714286
民權東路,2,48.5338148928572
民權東路,1,48.8043008571429
民權東路,0,48.5272628125
民權東路,23,50.0455987678572
民權東路,22,47.1359870803572
民權東路,21,45.2030828392857
民權東路,20,44.4491557678572
民權東路,19,41.3337532410714
民權東路,18,38.7945748571429
民權東路,17,40.7956753392857
民權東路,16,42.0551160267857
民權東路,15,42.2615565982143
民權東路,14,42.1374638035714
民權東路,13,43.9982652589286
民權西路,12,27.4703427142857
民權西路,11,25.7061231428571
民權西路,10,23.4471374285714
民權西路,9,24.7846071428571
民權西路,8,23.2289975
民權西路,7,27.3583492857143
民權西路,6,32.840232
民權西路,5,31.3049137142857
民權西路,4,32.4771418571429
民權西路,3,30.2787505714286
民權西路,2,30.0721831428571
民權西路,1,31.9461108571429
民權西路,0,30.4827295714286
民權西路,23,31.608234
民權西路,22,28.9366684285714
民權西路,21,29.5855208571429
民權西路,20,28.76824
民權西路,19,30.5894237142857
民權西路,18,24.7310848571429
民權西路,17,25.6496087142857
民權西路,16,25.243214
民權西路,15,22.3622935714286
民權西路,14,23.6705668571429
民權西路,13,25.7435537142857
羅斯福路,12,35.9111134545455
羅斯福路,11,35.7051690519481
羅斯福路,10,37.0610854285714
羅斯福路,9,36.8003642857143
羅斯福路,8,36.3396088030303
羅斯福路,7,39.9560232207792
羅斯福路,6,35.8829316883117
羅斯福路,5,38.4800734805195
羅斯福路,4,39.0790033636364
羅斯福路,3,32.5671737142857
羅斯福路,2,39.5198683506494
羅斯福路,1,38.9599103636364
羅斯福路,0,38.2384471818182
羅斯福路,23,37.9456321558442
羅斯福路,22,36.9572303376623
羅斯福路,21,35.2550900909091
羅斯福路,20,35.2717818441558
羅斯福路,19,34.3171375324675
羅斯福路,18,32.4282234935065
羅斯福路,17,32.4924038441559
羅斯福路,16,33.6286835974026
羅斯福路,15,34.2406856753247
羅斯福路,14,34.9704854285714
羅斯福路,13,37.7932281818182
至善路,12,53.7240613061224
至善路,11,52.4468583265306
至善路,10,51.7971525714286
至善路,9,50.7671518367347
至善路,8,52.7913150238095
至善路,7,50.692337877551
至善路,6,52.4074956326531
至善路,5,51.0119562244898
至善路,4,32.7091836734694
至善路,3,35.6241496326531
至善路,2,34.185374122449
至善路,1,41.4271829795918
至善路,0,50.1098175714286
至善路,23,53.1856752653061
至善路,22,52.1729499795918
至善路,21,51.0426894285714
至善路,20,51.7870644897959
至善路,19,50.5454171020408
至善路,18,51.4675037346939
至善路,17,51.4121068367347
至善路,16,51.0235581836735
至善路,15,51.8070973877551
至善路,14,51.0962957142857
至善路,13,53.5907041428572
興隆路,12,34.9620522142857
興隆路,11,35.5849395
興隆路,10,34.7521277142857
興隆路,9,35.4119833571429
興隆路,8,34.80110475
興隆路,7,34.8513651428571
興隆路,6,37.6317605714286
興隆路,5,40.9166667142857
興隆路,4,40.7797618571429
興隆路,3,31.2142857142857
興隆路,2,31.4642857142857
興隆路,1,37.0833332857143
興隆路,0,45.1945577142857
興隆路,23,36.9515872857143
興隆路,22,36.1147047857143
興隆路,21,34.0014017857143
興隆路,20,35.1972790714286
興隆路,19,32.5604038571429
興隆路,18,32.6963820714286
興隆路,17,32.8513962857143
興隆路,16,31.2614187857143
興隆路,15,34.7321215714286
興隆路,14,35.3068373571429
興隆路,13,36.456426
西園路,12,44.1487257142857
西園路,11,44.3305652857143
西園路,10,43.6464909285714
西園路,9,45.0406347857143
西園路,8,45.2649420833333
西園路,7,47.4773749285714
西園路,6,44.8965960714286
西園路,5,43.7294751428571
西園路,4,50.2739785714286
西園路,3,54.9269995
西園路,2,51.7521338571429
西園路,1,51.6402610714286
西園路,0,45.4769107857143
西園路,23,45.7916495714286
西園路,22,43.0356974285714
西園路,21,42.6838035714286
西園路,20,41.4091746428571
西園路,19,41.2211769285714
西園路,18,44.2603337142857
西園路,17,43.3334362857143
西園路,16,42.0695604285714
西園路,15,41.7524531428571
西園路,14,41.8898427857143
西園路,13,43.3811642142857
