,lon,lat,value,radius,color
9507,121.517421,25.022212,3,3,#DDD23B
9508,121.541078,25.025133,2,1,#DDD23B
9536,121.50925,25.03046,1,1,#DDD23B
9583,121.501874,25.139174,2,1,#DDD23B
9605,121.56384299999999,25.040374,2,1,#DDD23B
9616,121.599616,25.079038,2,1,#DDD23B
9690,121.497441,25.031981,2,1,#DDD23B
9738,121.578232,25.084024,2,1,#DDD23B
9758,121.58243700000001,25.043775,2,1,#DDD23B
9760,121.61438899999999,25.060392999999998,2,1,#DDD23B
9770,121.546885,25.131144,4,5,#DDD23B
9785,121.55556100000001,25.018586,2,1,#DDD23B
9797,121.597793,25.051116,2,1,#DDD23B
9804,121.540447,25.044747,2,1,#DDD23B
9810,121.51122,25.062788,2,1,#DDD23B
9822,121.581303,25.075523,2,1,#DDD23B
9850,121.499276,25.09573,3,3,#DDD23B
9882,121.50061799999999,25.031185999999998,3,3,#DDD23B
9888,121.57640900000001,25.071232000000002,2,1,#DDD23B
9889,121.560654,25.037712,2,1,#DDD23B
9895,121.52160500000001,25.053978,3,3,#DDD23B
9898,121.51130400000001,25.072681,2,1,#DDD23B
9921,121.58748,25.041764,2,1,#DDD23B
9943,121.53658200000001,25.02587,2,1,#DDD23B
9957,121.495167,25.021176,2,1,#DDD23B
9971,121.545823,25.134225,2,1,#DDD23B
9981,121.565491,25.082314999999998,2,1,#DDD23B
10008,121.50821699999999,25.051247,2,1,#DDD23B
10026,121.532875,25.040633,2,1,#DDD23B
10036,121.49838100000001,25.157051,3,3,#DDD23B
10048,121.52709499999999,25.048581,2,1,#DDD23B
10053,121.524051,25.120615,3,3,#DDD23B
10057,121.49938700000001,25.036671,3,3,#DDD23B
10067,121.524616,25.049142,2,1,#DDD23B
10077,121.50076200000001,25.063274,2,1,#DDD23B
10079,121.525524,25.058055,2,1,#DDD23B
10164,121.54161299999998,25.024895,2,1,#DDD23B
10171,121.572239,25.049229,2,1,#DDD23B
10196,121.504043,25.13739,2,1,#DDD23B
10208,121.58488999999999,25.052533,2,1,#DDD23B
10210,121.524511,25.03586,2,1,#DDD23B
10226,121.49760500000001,25.036731,2,1,#DDD23B
10264,121.503098,25.123870999999998,2,1,#DDD23B
